number,state,recall,overall_time_s,exit_code,non_zeros,k_graph,k_ext,eps_ext,prune_worst,max_dist,evpK
78,COMPLETE,0.5014,2.4,0,704,12,18,0.005117602593191832,0,77,31
79,COMPLETE,0.6137,2.8,0,896,16,34,0.0023039631138216084,0,106,24
80,COMPLETE,0.7089,4.1,0,896,20,58,0.0028628544284918897,0,209,25
81,COMPLETE,0.7103,3.4,0,512,18,21,0.012132381094780195,1,122,25
82,COMPLETE,0.6575,8.8,0,320,22,16,0.02142996180770513,1,105,21
83,COMPLETE,0.7248,5.1,0,384,30,19,0.0011827091362136733,0,191,22
84,COMPLETE,0.6233,2.7,0,448,12,23,0.005697094168044519,1,130,22
85,COMPLETE,0.6945999999999999,3.7,0,448,24,18,0.005157112753544803,2,120,20
86,COMPLETE,0.7137,3.4,0,448,14,35,0.009107337037814092,1,169,24
87,COMPLETE,0.6443000000000001,3.5,0,448,14,57,0.004289326060016192,2,212,15
88,COMPLETE,0.6517000000000001,3.1,0,320,14,30,0.0026932832671669985,1,217,22
89,COMPLETE,0.6259,3.6,0,320,12,59,0.004707590166471465,1,101,27
90,COMPLETE,0.5725,5.8,0,256,34,25,0.0029603242589234012,2,645,15
91,COMPLETE,0.7245999999999999,4.4,0,256,18,23,0.003239161910658764,9,175,110
92,COMPLETE,0.6956,8.4,0,960,14,101,0.04308455597866629,1,148,100
93,COMPLETE,0.9081999999999999,7.2,0,576,20,38,0.01039697578109398,10,626,186
94,COMPLETE,0.9153,14.9,0,768,62,103,0.0010392897460123347,20,258,130
95,COMPLETE,0.5044,12.1,0,128,64,46,0.0006044645799515706,0,265,25
96,COMPLETE,0.7537,4.3,0,512,16,46,0.005349704390330634,8,143,105
97,COMPLETE,0.85,7.4,0,384,20,44,0.012131977133385187,10,295,166
98,COMPLETE,0.7842,10.8,0,320,56,52,0.002354610363720451,27,755,26
99,COMPLETE,0.9235,8.1,0,512,32,22,0.007085428413067256,11,555,190
100,COMPLETE,0.7847,12.1,0,576,46,122,0.004973120526447066,0,208,21
101,COMPLETE,0.757,3.4,0,768,16,19,0.006119638069098474,2,576,28
102,COMPLETE,0.8319,4.9,0,832,24,39,0.012013556765645455,3,746,32
103,COMPLETE,0.7872,3.5,0,704,14,29,0.0017358878761742605,3,707,31
104,COMPLETE,0.6631999999999999,2.9,0,896,12,16,0.012063775731447358,4,577,30
105,COMPLETE,0.8148000000000001,3.8,0,768,14,38,0.0007679059502795863,3,666,37
106,COMPLETE,0.8201999999999999,5.8,0,704,16,18,0.00015087191236140353,4,594,208
107,COMPLETE,0.8283,4.1,0,576,16,27,0.0022748100037091362,3,444,83
108,COMPLETE,0.8271,4.3,0,768,14,24,0.0085996855054559,4,496,84
109,COMPLETE,0.8661,5.3,0,896,22,16,0.007066652433477276,10,655,88
110,COMPLETE,0.9603,13.6,0,512,52,125,0.00035285962558341625,13,689,91
111,COMPLETE,0.8885,6.7,0,640,16,35,0.0015670831323604157,8,777,212
112,COMPLETE,0.7384999999999999,7.3,0,512,34,90,0.00368733224741463,11,59,31
113,COMPLETE,0.9059999999999999,7.1,0,576,28,37,0.002592421129325379,10,491,178
114,COMPLETE,0.8415,5.1,0,896,16,17,0.03337084417979506,8,482,144
115,COMPLETE,0.8311,4.1,0,704,16,31,0.0025041962429346778,3,431,86
116,COMPLETE,0.7798999999999999,9.4,0,128,44,51,0.00018068500859362257,14,583,124
117,COMPLETE,0.7985,4.1,0,896,12,23,0.005346997380118663,3,703,79
118,COMPLETE,0.7329000000000001,6.3,0,576,22,121,0.0008602701308009941,11,74,62
119,COMPLETE,0.9349,8.5,0,576,32,24,0.00773941833502074,11,694,231
120,COMPLETE,0.8948999999999999,7.3,0,576,18,36,0.013510214963252444,9,560,259
121,COMPLETE,0.7659999999999999,5.9,0,704,38,31,0.00013444123802853038,11,65,32
122,COMPLETE,0.8981,7.1,0,640,18,24,0.015145140720458758,9,677,245
123,COMPLETE,0.633,3.3,0,448,12,24,0.003512362233197058,4,108,86
124,COMPLETE,0.9242,11.0,0,640,32,31,0.0287361555509491,11,424,328
125,COMPLETE,0.8415,6.0,0,704,20,40,0.0050733554279787955,10,301,183
126,COMPLETE,0.9383,9.3,0,640,34,18,0.006543848322442711,12,753,221
127,COMPLETE,0.6053999999999999,3.3,0,640,14,23,0.0005035233610968205,3,89,69
128,COMPLETE,0.8259000000000001,3.9,0,640,16,37,0.003788591010150562,8,620,38
129,COMPLETE,0.9559000000000001,15.3,0,512,54,103,0.00027137366206678013,16,568,216
130,COMPLETE,0.8227,7.6,0,960,32,88,0.00029393519060200103,13,208,147
131,COMPLETE,0.9659,14.3,0,640,62,28,0.002169728972251646,20,766,193
132,COMPLETE,0.9401,13.1,0,960,54,25,0.0043485514329635435,22,773,257
133,COMPLETE,0.9525,12.7,0,640,58,64,0.006024218446876285,20,490,185
134,COMPLETE,0.9556999999999999,11.7,0,576,54,28,0.002190216768395195,18,647,186
135,COMPLETE,0.8256,14.7,0,960,38,79,0.04121763512113884,14,190,134
136,COMPLETE,0.6,4.8,0,128,14,58,0.0004485381847074428,7,178,135
137,COMPLETE,0.9236,14.9,0,896,64,50,0.0008092928927357438,36,431,379
138,COMPLETE,0.9591,12.7,0,704,54,20,0.006163065450504577,25,730,234
139,COMPLETE,0.8590000000000001,6.9,0,832,26,117,0.000165037245871304,9,738,35
140,COMPLETE,0.8717,11.5,0,704,60,26,0.005145886255093179,25,744,29
141,COMPLETE,0.8684999999999999,13.2,0,448,60,79,0.0025151277045978777,17,114,96
142,COMPLETE,0.9196,8.9,0,704,22,59,0.005113867613187232,11,708,259
143,COMPLETE,0.9653,14.9,0,512,62,39,0.0006692874061612706,16,787,228
144,COMPLETE,0.9376000000000001,11.1,0,640,52,18,0.0027438480848371227,26,425,176
145,COMPLETE,0.7931999999999999,14.6,0,960,52,21,0.041587631960822186,7,118,97
146,COMPLETE,0.8991,8.5,0,768,50,31,0.0014846945081037227,13,665,41
147,COMPLETE,0.9129999999999999,7.2,0,640,26,40,0.0064736495067360495,10,533,195
148,COMPLETE,0.7119,8.5,0,256,52,18,0.00010055202352974499,7,56,53
149,COMPLETE,0.4919,10.6,0,128,42,121,0.000524030804320871,11,528,23
150,COMPLETE,0.8602,15.8,0,256,60,102,0.0011413552460680636,6,289,159
151,COMPLETE,0.5185,9.9,0,128,48,93,0.0001337516972460184,22,128,28
152,COMPLETE,0.9516,12.3,0,448,52,19,0.002939324336865053,0,799,254
153,COMPLETE,0.8759,7.3,0,704,40,46,0.006267363241223555,0,636,33
154,COMPLETE,0.6225,3.1,0,640,18,26,0.002352823794738304,9,53,29
155,COMPLETE,0.6862999999999999,21.6,0,704,52,121,0.03253522407310921,4,67,18
156,COMPLETE,0.7387999999999999,4.6,0,896,14,31,0.008952613914097261,2,229,165
157,COMPLETE,0.9412,290.3,0,256,56,30,0.0465013591052265,28,791,301
158,COMPLETE,0.9377,18.5,0,704,28,103,0.039976066910966467,13,605,233
159,COMPLETE,0.9005,9.8,0,576,50,46,0.009830882527895109,5,737,33
160,COMPLETE,0.5586,2.5,0,704,12,21,0.005344869130096565,1,94,28
161,COMPLETE,0.6907,4.0,0,704,16,49,0.013097065935218572,2,90,82
162,COMPLETE,0.9576,12.3,0,640,32,45,0.033055220954053416,12,782,228
163,COMPLETE,0.8521,8.7,0,256,22,115,0.00023978251394100514,11,410,213
164,COMPLETE,0.9525,10.1,0,512,40,31,0.007831620213918335,14,742,193
165,COMPLETE,0.8165,7.2,0,384,34,71,0.0010990498397742384,9,142,112
166,COMPLETE,0.8682,5.2,0,768,22,40,0.00684219199669199,9,406,57
167,COMPLETE,0.7048000000000001,18.0,0,192,34,69,0.009176220432666216,8,137,107
168,COMPLETE,0.9014,8.2,0,384,40,19,0.01010311056428777,20,391,51
169,COMPLETE,0.7798999999999999,3.8,0,768,14,47,0.007323657033170043,2,735,26
170,COMPLETE,0.7147,3.9,0,704,20,21,0.003281817978083827,9,121,79
171,COMPLETE,0.8057,3.6,0,704,18,26,0.002480379459941591,4,404,37
172,COMPLETE,0.6223,24.6,0,192,44,124,0.007122855286981907,22,57,52
173,COMPLETE,0.7777,4.3,0,704,16,16,0.0030506899380120726,8,429,72
174,COMPLETE,0.8721,10.1,0,704,54,44,0.00050780866596342,5,161,123
175,COMPLETE,0.8129000000000001,11.5,0,320,64,37,0.0011261601305233863,16,73,65
176,COMPLETE,0.6503,5.2,0,704,12,47,0.041988241292489875,4,648,15
177,COMPLETE,0.8377,5.2,0,512,16,114,0.0013479181814795836,8,791,34
178,COMPLETE,0.7752,8.8,0,896,56,56,0.0020013819674148388,30,55,53
179,COMPLETE,0.7613,10.3,0,896,48,115,0.0007440670811701781,5,580,24
180,COMPLETE,0.8883,8.8,0,704,26,25,0.008127456797080577,10,469,387
181,COMPLETE,0.8634999999999999,6.5,0,448,36,36,0.005440342779417438,3,544,32
182,COMPLETE,0.6224000000000001,2.8,0,576,14,23,0.00716563153333253,1,85,28
183,COMPLETE,0.5948,3.3,0,768,14,16,0.007259323682494712,1,119,100
184,COMPLETE,0.5928,2.6,0,896,12,17,0.005712628533081742,4,719,23
185,COMPLETE,0.6374,696.4,0,128,54,43,0.030230309796736292,0,158,137
186,COMPLETE,,,137,640,50,126,0.012862652546072861,5,567,37
187,COMPLETE,0.9392,14.6,0,832,48,26,0.03630728372684156,4,614,251
188,COMPLETE,0.9068,8.2,0,576,40,25,0.015990428884935112,21,635,35
189,COMPLETE,0.9298000000000001,8.6,0,512,26,53,0.006783330037996053,3,688,220
190,COMPLETE,0.679,3.4,0,896,18,20,0.015696366906448517,1,316,22
191,COMPLETE,0.9158,8.7,0,384,28,69,0.00027811620394737317,12,541,201
192,COMPLETE,0.9031,7.5,0,576,22,16,0.007930114228568994,11,706,210
193,COMPLETE,0.8622,7.4,0,832,14,27,0.009527401845664352,4,683,288
194,COMPLETE,0.784,3.6,0,832,16,44,0.0014616149675844342,3,382,33
195,COMPLETE,0.7817000000000001,5.4,0,896,12,23,0.003953608095544661,4,577,176
196,COMPLETE,0.818,7.8,0,384,38,26,0.006924446287100053,13,706,26
197,COMPLETE,0.6552,28.7,0,128,24,114,0.00656563816571692,11,210,149
198,COMPLETE,0.9039,8.7,0,512,30,27,0.002372287095562824,17,552,264
199,COMPLETE,0.8059999999999999,4.1,0,896,14,29,0.025121433046296826,4,734,38
