number,state,recall,overall_time_s,exit_code,non_zeros,k_graph,k_ext,eps_ext,prune_worst,max_dist,evpK
0,COMPLETE,0.6845,14.6,0,448,62,98,0.004128205343826225,5,76,16
1,COMPLETE,0.8048000000000001,10.0,0,896,44,96,0.00011364672700011186,26,502,29
2,COMPLETE,0.6901999999999999,4.6,0,256,20,50,0.002607965659809585,5,111,51
3,COMPLETE,0.6257,5.3,0,192,26,57,0.0017018418817029183,12,86,36
4,COMPLETE,0.8904000000000001,9.1,0,640,14,84,0.00028856223618597374,0,694,357
5,COMPLETE,0.7031000000000001,4.7,0,832,28,27,0.007026263205443053,7,70,32
6,COMPLETE,0.6537000000000001,38.5,0,128,60,45,0.0061394260508981545,11,210,63
7,COMPLETE,0.8745,187.0,0,256,64,103,0.0343304473310619,34,261,209
8,COMPLETE,0.6093999999999999,4.2,0,192,22,21,0.0007551909976018516,5,105,75
9,COMPLETE,0.7058,5.4,0,384,26,77,0.00024007683448156383,12,61,60
10,COMPLETE,0.6731999999999999,4.8,0,896,26,52,0.007442130808223727,8,80,23
11,COMPLETE,0.882,9.1,0,704,12,78,0.00042380662443340514,0,753,386
12,COMPLETE,0.7981,7.1,0,704,44,41,0.00426158858156853,21,63,35
13,COMPLETE,0.8212999999999999,11.8,0,576,48,28,0.026253677369288263,17,66,37
14,COMPLETE,0.7070000000000001,6.8,0,960,44,29,0.0015872923287260925,20,80,26
15,COMPLETE,0.6870999999999999,3.3,0,576,14,16,0.023238124794997615,7,98,39
16,COMPLETE,0.7833,4.4,0,640,18,30,0.007204570327554765,3,194,115
17,COMPLETE,0.8104,5.0,0,768,20,40,0.0010811896045056723,2,266,124
18,COMPLETE,0.613,22.1,0,256,16,32,0.02387792495282099,2,79,50
19,COMPLETE,0.9147,8.3,0,512,38,17,0.003917828094949108,9,409,139
20,COMPLETE,0.8859999999999999,7.6,0,832,38,42,0.0005252489838581011,14,330,115
21,COMPLETE,0.8651000000000001,6.9,0,832,30,35,0.00041618222795410337,3,396,137
22,COMPLETE,0.7322,5.0,0,768,20,79,0.00045946797081675215,3,107,83
23,COMPLETE,0.77,4.5,0,704,16,37,0.0006048067435767815,2,225,135
24,COMPLETE,0.7715000000000001,5.3,0,960,20,25,0.0013421165160214178,3,322,177
25,COMPLETE,0.7156999999999999,4.0,0,640,20,20,0.013962961777231936,7,84,67
26,COMPLETE,0.9327,14.3,0,832,44,80,0.02365988352463806,0,643,181
27,COMPLETE,0.8968,8.0,0,576,38,44,0.006612838544372236,8,282,115
28,COMPLETE,0.8501000000000001,5.5,0,640,24,18,0.010773717820613454,4,298,139
29,COMPLETE,0.9434,23.4,0,384,36,32,0.030631810381358208,7,664,190
30,COMPLETE,0.9370999999999999,16.5,0,896,40,73,0.04358602435958616,14,640,244
31,COMPLETE,0.9217,10.5,0,320,48,18,0.001033489624962971,12,525,213
32,COMPLETE,0.9197,7.6,0,512,36,16,0.0030052561327773976,11,498,125
33,COMPLETE,0.6981,4.9,0,704,28,28,0.016583378191043687,12,243,16
34,COMPLETE,0.7456999999999999,9.2,0,192,34,128,0.0008693172127590855,15,173,95
35,COMPLETE,0.8944,5.9,0,576,22,29,0.006730679272985255,10,533,113
36,COMPLETE,0.8779,5.9,0,320,22,48,0.002632462468528753,10,482,98
37,COMPLETE,0.838,4.9,0,384,12,16,0.010529367483006084,6,742,95
38,COMPLETE,0.9113,7.7,0,512,24,27,0.0016494834640883873,10,770,252
39,COMPLETE,0.8581,5.0,0,768,16,46,0.007957002072900173,8,472,95
40,COMPLETE,0.9358,10.1,0,640,38,30,0.0025652598197133643,15,683,240
41,COMPLETE,0.8039000000000001,4.3,0,832,12,52,0.005467908782056821,6,593,57
42,COMPLETE,0.8093,4.5,0,960,14,54,0.006149585830301921,6,723,51
43,COMPLETE,0.7685,11.5,0,896,50,119,0.004137993868338758,11,96,48
44,COMPLETE,0.8884000000000001,5.3,0,576,16,74,0.0085410327959899,6,561,48
45,COMPLETE,0.8262999999999999,4.6,0,576,12,84,0.004876783902427326,5,457,40
46,COMPLETE,0.8734999999999999,8.0,0,512,24,92,0.013819682393509525,6,290,45
47,COMPLETE,0.8268000000000001,17.3,0,320,22,69,0.01990931578692397,6,533,34
48,COMPLETE,0.9198999999999999,9.5,0,384,36,105,0.002184329158240479,7,645,57
49,COMPLETE,0.7898000000000001,4.7,0,512,12,62,0.014495661478709357,5,759,29
50,COMPLETE,0.5954999999999999,17.9,0,128,56,99,0.0022500820103260634,25,95,55
51,COMPLETE,0.9393,11.4,0,640,36,44,0.0021294639522540047,17,729,377
52,COMPLETE,0.6859000000000001,5.9,0,960,22,115,0.0021450706521689527,6,89,42
53,COMPLETE,0.8889,6.2,0,768,26,76,0.005786031311514913,7,424,52
54,COMPLETE,0.8298000000000001,9.2,0,512,48,89,0.0003835982590922366,22,84,43
55,COMPLETE,0.8687999999999999,42.7,0,448,44,84,0.03992377699328193,17,158,63
56,COMPLETE,0.7909999999999999,8.8,0,768,46,60,0.001380821181685449,10,793,22
57,COMPLETE,0.9231999999999999,11.2,0,640,40,17,0.0004884655071620236,8,536,394
58,COMPLETE,0.721,4.1,0,960,12,87,0.0013384973116412327,5,356,32
59,COMPLETE,0.7293999999999999,7.6,0,576,12,30,0.048969317094485584,6,145,61
60,COMPLETE,0.6133,90.2,0,192,26,104,0.01892176200521688,5,85,43
61,COMPLETE,0.8314,5.7,0,896,14,42,0.03992692596726274,7,435,73
62,COMPLETE,0.6909000000000001,10.9,0,512,18,33,0.0448258316076992,8,63,47
63,COMPLETE,0.7490000000000001,8.7,0,960,48,69,0.0001208960888406302,15,76,63
64,COMPLETE,0.8808,5.0,0,768,18,41,0.008729619327117334,9,586,78
65,COMPLETE,0.8955,12.4,0,832,62,53,0.007145627957100568,33,206,77
66,COMPLETE,0.6197,3.2,0,576,12,49,0.0019115359800677915,6,74,36
67,COMPLETE,0.9325,191.0,0,256,52,97,0.035168432656967036,15,720,168
68,COMPLETE,0.9145,7.9,0,768,42,18,0.0054031004050749025,12,419,86
69,COMPLETE,0.6373,4.7,0,832,28,32,0.0023466013301794222,10,759,15
70,COMPLETE,0.8314,7.3,0,320,40,36,0.00013079746243382345,12,175,118
71,COMPLETE,0.9521,11.2,0,640,44,17,0.0043395808501133885,11,796,284
72,COMPLETE,0.9549,10.6,0,640,50,20,0.0030584390267512996,12,738,179
73,COMPLETE,0.9462999999999999,11.2,0,704,58,21,0.0018132727192147955,13,521,136
74,COMPLETE,0.8994,21.4,0,960,64,112,0.0318849143416424,13,376,140
75,COMPLETE,0.9476,14.3,0,576,56,26,0.021276006934735362,12,440,137
76,COMPLETE,0.5445,3.0,0,832,12,24,0.005052995040434245,0,89,75
77,COMPLETE,0.8298000000000001,13.8,0,640,64,124,0.00044966396095721283,30,57,37
